0	0	0	0	0	0	0	
0	0.613721	0	-1.20573	0	0	0	
0	1.17634	0	-2.31124	0	0	0	
0	1.69066	0	-3.32166	0	0	0	
0	2.15938	0	-4.24197	0	0	0	
0	2.58505	0	-5.07692	0	0	0	
0	2.97016	0	-5.8312	0	0	0	
0	3.31708	0	-6.5093	0	0	0	
0	3.62811	0	-7.1156	0	0	0	
0	3.90539	0	-7.65421	0	0	0	
0	4.15101	0	-8.12922	0	0	0	
0	4.36695	0	-8.54444	0	0	0	
0	4.55512	0	-8.90361	0	0	0	
0	4.71733	0	-9.21033	0	0	0	
0	4.85529	0	-9.46797	0	0	0	
0	4.97067	0	-9.67984	0	0	0	
0	5.06502	0	-9.84902	0	0	0	
0	5.13983	0	-9.9785	0	0	0	
0	5.19651	0	-10.0711	0	0	0	
0	5.2364	0	-10.1297	0	0	0	
0	5.26077	0	-10.1566	0	0	0	
0	5.2708	0	-10.1545	0	0	0	
0	5.26767	0	-10.1255	0	0	0	
0	5.25245	0	-10.072	0	0	0	
0	5.22617	0	-9.99608	0	0	0	
0	5.1898	0	-9.89964	0	0	0	
0	5.14425	0	-9.7846	0	0	0	
0	5.09038	0	-9.65274	0	0	0	
0	5.029	0	-9.50575	0	0	0	
0	4.96088	0	-9.34519	0	0	0	
0	4.88673	0	-9.17255	0	0	0	
0	4.80722	0	-8.98925	0	0	0	
0	4.72298	0	-8.79658	0	0	0	
0	4.63461	0	-8.59578	0	0	0	
0	4.54264	0	-8.38799	0	0	0	
0	4.4476	0	-8.17429	0	0	0	
0	4.34997	0	-7.95568	0	0	0	
0	4.25019	0	-7.7331	0	0	0	
0	4.14868	0	-7.50743	0	0	0	
0	4.04583	0	-7.27949	0	0	0	
0	3.94201	0	-7.05004	0	0	0	
0	3.83755	0	-6.81979	0	0	0	
0	3.73275	0	-6.58937	0	0	0	
0	3.6279	0	-6.35937	0	0	0	
0	3.52324	0	-6.13033	0	0	0	
0	3.41903	0	-5.90275	0	0	0	
0	3.31547	0	-5.67711	0	0	0	
0	3.21278	0	-5.45381	0	0	0	
0	3.11112	0	-5.23324	0	0	0	
0	3.01066	0	-5.01571	0	0	0	
0	2.91154	0	-4.80152	0	0	0	
0	2.81387	0	-4.59092	0	0	0	
0	2.71778	0	-4.38414	0	0	0	
0	2.62338	0	-4.1814	0	0	0	
0	2.53074	0	-3.98289	0	0	0	
0	2.43997	0	-3.78879	0	0	0	
0	2.35113	0	-3.59923	0	0	0	
0	2.26427	0	-3.41431	0	0	0	
0	2.17943	0	-3.23411	0	0	0	
0	2.09665	0	-3.05871	0	0	0	
0	2.01597	0	-2.88816	0	0	0	
0	1.9374	0	-2.72251	0	0	0	
0	1.86095	0	-2.56176	0	0	0	
0	1.78664	0	-2.4059	0	0	0	
0	1.71445	0	-2.25494	0	0	0	
0	1.6444	0	-2.10885	0	0	0	
0	1.57648	0	-1.96765	0	0	0	
0	1.51069	0	-1.83131	0	0	0	
0	1.44703	0	-1.6998	0	0	0	
0	1.38545	0	-1.57305	0	0	0	
0	1.32593	0	-1.45099	0	0	0	
0	1.26844	0	-1.33353	0	0	0	
0	1.21295	0	-1.2206	0	0	0	
0	1.15941	0	-1.1121	0	0	0	
0	1.1078	0	-1.00797	0	0	0	
0	1.05809	0	-0.908114	0	0	0	
0	1.01024	0	-0.81247	0	0	0	
0	0.964229	0	-0.720943	0	0	0	
0	0.92	0	-0.633434	0	0	0	
0	0.877503	0	-0.54982	0	0	0	
0	0.836685	0	-0.469974	0	0	0	
0	0.797495	0	-0.393771	0	0	0	
0	0.759895	0	-0.321115	0	0	0	
0	0.723846	0	-0.251918	0	0	0	
0	0.689314	0	-0.186097	0	0	0	
0	0.656262	0	-0.123575	0	0	0	
0	0.624651	0	-0.0642642	0	0	0	
0	0.594429	0	-0.00804971	0	0	0	
0	0.565534	0	0.0452076	0	0	0	
0	0.537919	0	0.0956251	0	0	0	
0	0.511535	0	0.143319	0	0	0	
0	0.486349	0	0.188374	0	0	0	
0	0.462328	0	0.230863	0	0	0	
0	0.439434	0	0.270867	0	0	0	
0	0.41763	0	0.308476	0	0	0	
0	0.396859	0	0.343815	0	0	0	
0	0.377067	0	0.377017	0	0	0	
0	0.358213	0	0.408179	0	0	0	
0	0.340257	0	0.437394	0	0	0	
0	0.323182	0	0.464705	0	0	0	
0	0.306959	0	0.490164	0	0	0	
0	0.291558	0	0.513832	0	0	0	
0	0.276942	0	0.535799	0	0	0	
0	0.263069	0	0.556156	0	0	0	
0	0.249901	0	0.575006	0	0	0	
0	0.237404	0	0.592425	0	0	0	
0	0.225556	0	0.60846	0	0	0	
0	0.21433	0	0.623169	0	0	0	
0	0.203693	0	0.636632	0	0	0	
0	0.193615	0	0.648927	0	0	0	
0	0.184056	0	0.660148	0	0	0	
0	0.174997	0	0.670341	0	0	0	
0	0.166415	0	0.67955	0	0	0	
0	0.158296	0	0.687795	0	0	0	
0	0.150613	0	0.695124	0	0	0	
0	0.143346	0	0.701592	0	0	0	
0	0.136461	0	0.707289	0	0	0	
0	0.12994	0	0.712258	0	0	0	
0	0.123767	0	0.716534	0	0	0	
0	0.117921	0	0.720161	0	0	0	
0	0.112375	0	0.723199	0	0	0	
0	0.107118	0	0.725682	0	0	0	
0	0.102135	0	0.727654	0	0	0	
0	0.0974087	0	0.729154	0	0	0	
0	0.0929247	0	0.730195	0	0	0	
0	0.088661	0	0.730826	0	0	0	
0	0.0846054	0	0.731064	0	0	0	
0	0.0807541	0	0.730933	0	0	0	
0	0.0770964	0	0.730461	0	0	0	
